股票代码,股票名称,匹配度,价格,日期,核心特征匹配,1周后收益,2周后收益,4周后收益,8周后收益,扫描周
000011,深物业A,1.0,9.43,2025-12-05,"{'起点前40周最大量': 1.0, '价格相对位置': 0.924, '起点当周量比': 1.0, '起点前20周波动率': 0.988, '价格相对MA20': 0.975, '成交量萎缩程度': 0.992, '是否跌破最大量最低价': 0.862}",-4.98,-2.76,-4.45,,2025-12-05
000030,富奥股份,1.0,5.69,2025-12-05,"{'起点前40周最大量': 1.0, '价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.885, '价格相对MA20': 0.975, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 0.862}",-2.46,0.35,0.88,,2025-12-05
000042,中洲控股,1.0,8.21,2025-12-05,"{'起点前40周最大量': 1.0, '价格相对位置': 0.926, '起点当周量比': 1.0, '起点前20周波动率': 0.894, '价格相对MA20': 0.924, '成交量萎缩程度': 0.992, '是否跌破最大量最低价': 0.862}",-3.65,-3.17,-7.19,,2025-12-05
000045,深纺织Ａ,1.0,12.31,2025-12-05,"{'起点前40周最大量': 0.994, '价格相对位置': 0.925, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 0.876, '是否跌破最大量最低价': 1.0}",-2.84,-2.52,-0.73,,2025-12-05
000050,深天马Ａ,1.0,9.29,2025-12-05,"{'起点前40周最大量': 1.0, '价格相对位置': 0.992, '起点当周量比': 1.0, '起点前20周波动率': 0.885, '价格相对MA20': 0.9, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",-4.09,-4.2,-2.8,,2025-12-05
000020,深华发Ａ,1.0,15.33,2025-12-12,"{'起点前40周最大量': 1.0, '价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.919, '价格相对MA20': 1.0, '成交量萎缩程度': 0.833, '是否跌破最大量最低价': 0.862}",-6.98,-8.41,,,2025-12-12
000045,深纺织Ａ,1.0,11.96,2025-12-12,"{'起点前40周最大量': 0.994, '价格相对位置': 0.904, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 0.914, '成交量萎缩程度': 0.908, '是否跌破最大量最低价': 1.0}",0.33,0.5,,,2025-12-12
000301,东方盛虹,1.0,9.29,2025-12-12,"{'起点前40周最大量': 1.0, '价格相对位置': 0.973, '起点当周量比': 1.0, '起点前20周波动率': 0.87, '价格相对MA20': 0.911, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",8.4,15.39,,,2025-12-12
000411,英特集团,1.0,11.49,2025-12-12,"{'起点前40周最大量': 1.0, '价格相对位置': 0.913, '起点当周量比': 1.0, '起点前20周波动率': 0.87, '价格相对MA20': 0.988, '成交量萎缩程度': 0.995, '是否跌破最大量最低价': 1.0}",13.75,11.92,,,2025-12-12
000419,通程控股,1.0,5.98,2025-12-12,"{'起点前40周最大量': 1.0, '价格相对位置': 0.976, '起点当周量比': 1.0, '起点前20周波动率': 0.872, '价格相对MA20': 0.974, '成交量萎缩程度': 0.988, '是否跌破最大量最低价': 0.862}",17.89,13.21,,,2025-12-12
000026,飞亚达,1.0,15.53,2025-12-19,"{'起点前40周最大量': 0.986, '价格相对位置': 0.848, '起点当周量比': 1.0, '起点前20周波动率': 0.998, '价格相对MA20': 0.856, '成交量萎缩程度': 0.844, '是否跌破最大量最低价': 1.0}",-2.0,5.47,,,2025-12-19
000030,富奥股份,1.0,5.71,2025-12-19,"{'起点前40周最大量': 1.0, '价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.885, '价格相对MA20': 0.989, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 0.862}",0.88,0.53,,,2025-12-19
000045,深纺织Ａ,1.0,12.0,2025-12-19,"{'起点前40周最大量': 0.994, '价格相对位置': 0.906, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 0.912, '成交量萎缩程度': 0.914, '是否跌破最大量最低价': 1.0}",0.17,1.83,,,2025-12-19
000055,方大集团,1.0,4.24,2025-12-19,"{'起点前40周最大量': 1.0, '价格相对位置': 0.896, '起点当周量比': 1.0, '起点前20周波动率': 0.855, '价格相对MA20': 0.921, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 0.862}",0.24,-3.3,,,2025-12-19
000058,深 赛 格,1.0,9.17,2025-12-19,"{'起点前40周最大量': 1.0, '价格相对位置': 0.901, '起点当周量比': 1.0, '起点前20周波动率': 0.994, '价格相对MA20': 0.894, '成交量萎缩程度': 0.908, '是否跌破最大量最低价': 1.0}",2.62,2.51,,,2025-12-19
000030,富奥股份,1.0,5.76,2025-12-26,"{'起点前40周最大量': 1.0, '价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.885, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 0.862}",-0.35,,,,2025-12-26
000045,深纺织Ａ,1.0,12.02,2025-12-26,"{'起点前40周最大量': 0.994, '价格相对位置': 0.907, '起点当周量比': 1.0, '起点前20周波动率': 0.984, '价格相对MA20': 0.907, '成交量萎缩程度': 0.974, '是否跌破最大量最低价': 1.0}",1.66,,,,2025-12-26
000048,京基智农,1.0,14.79,2025-12-26,"{'起点前40周最大量': 1.0, '价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.997, '价格相对MA20': 0.862, '成交量萎缩程度': 0.892, '是否跌破最大量最低价': 1.0}",19.0,,,,2025-12-26
000058,深 赛 格,1.0,9.41,2025-12-26,"{'起点前40周最大量': 1.0, '价格相对位置': 0.921, '起点当周量比': 1.0, '起点前20周波动率': 0.896, '价格相对MA20': 0.92, '成交量萎缩程度': 0.898, '是否跌破最大量最低价': 1.0}",-0.11,,,,2025-12-26
000059,华锦股份,1.0,5.16,2025-12-26,"{'起点前40周最大量': 0.999, '价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.855, '价格相对MA20': 0.974, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 0.862}",3.68,,,,2025-12-26
000026,飞亚达,1.0,16.38,2025-12-31,"{'起点前40周最大量': 0.986, '价格相对位置': 0.883, '起点当周量比': 1.0, '起点前20周波动率': 0.998, '价格相对MA20': 0.98, '成交量萎缩程度': 0.882, '是否跌破最大量最低价': 0.862}",,,,,2025-12-31
000030,富奥股份,1.0,5.74,2025-12-31,"{'起点前40周最大量': 1.0, '价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.885, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 0.862}",,,,,2025-12-31
000035,中国天楹,1.0,5.52,2025-12-31,"{'起点前40周最大量': 0.908, '价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 1.0, '价格相对MA20': 1.0, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",,,,,2025-12-31
000045,深纺织Ａ,1.0,12.22,2025-12-31,"{'起点前40周最大量': 0.994, '价格相对位置': 0.919, '起点当周量比': 1.0, '起点前20周波动率': 0.984, '价格相对MA20': 0.922, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 1.0}",,,,,2025-12-31
000419,通程控股,1.0,6.39,2025-12-31,"{'起点前40周最大量': 1.0, '价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.906, '价格相对MA20': 1.0, '成交量萎缩程度': 0.924, '是否跌破最大量最低价': 1.0}",,,,,2025-12-31
