股票代码,买点日期,买点价格,MA5,MA10,MA20,MA30,最大均线,最小均线,最大差值,差值百分比,股票名称
301005,2025-11-14,48.76,49.63,49.22,49.44,49.83,49.83,49.22,0.61,1.25,超捷股份
000592,2025-10-17,3.71,3.56,3.55,3.47,3.44,3.56,3.44,0.12,3.27,平潭发展
600343,2025-10-31,15.3,15.37,15.04,14.99,14.82,15.37,14.82,0.55,3.59,航天动力
603122,2025-10-17,6.28,6.36,6.39,6.6,6.63,6.63,6.36,0.27,4.31,合富中国
002104,2025-05-23,7.13,7.31,7.56,7.79,7.76,7.79,7.31,0.49,6.81,恒宝股份
603778,2025-10-10,3.48,3.47,3.46,3.7,3.73,3.73,3.46,0.26,7.59,国晟科技
603216,2025-11-05,15.7,15.7,16.0,16.55,16.98,16.98,15.7,1.28,8.17,梦天家居
002788,2025-11-21,9.22,9.99,10.3,9.53,9.13,10.3,9.13,1.18,12.78,鹭燕医药
301232,2025-11-14,49.5,50.62,49.73,46.36,44.22,50.62,44.22,6.4,12.93,飞沃科技
300436,2025-06-20,33.58,37.19,36.39,33.92,32.66,37.19,32.66,4.53,13.5,广生堂
002759,2025-09-19,15.76,17.48,17.27,14.21,12.74,17.48,12.74,4.74,30.07,天际股份
