股票代码,股票名称,最佳买点日期,最佳买点价格,匹配度,核心特征匹配度,涨幅,周数,盈利筹码比例,90%成本集中度
300204,舒泰神,2025-05-16,11.07,0.956,0.956,321.68,8,71.55,15.38
001331,胜通能源,2025-11-21,13.24,0.954,0.957,390.94,8,78.8,13.56
688585,上纬新材,2025-06-20,7.14,0.953,0.955,1447.34,8,57.76,20.33
000759,中百集团,2024-11-22,3.76,0.952,0.95,313.83,7,54.37,14.08
688165,埃夫特,2024-11-01,9.18,0.951,0.952,353.7,7,18.35,16.39
603955,大千生态,2024-10-11,8.16,0.95,0.95,347.67,7,29.47,14.61
002969,嘉美包装,2025-11-21,3.58,0.95,0.954,320.95,8,49.37,11.4
603268,*ST松发,2024-09-20,12.7,0.949,0.953,329.37,6,31.55,9.46
301292,海科新源,2025-09-26,17.98,0.948,0.95,345.11,8,94.62,10.17
605255,天普股份,2025-08-08,25.35,0.948,0.952,338.7,8,69.79,18.58
603038,华立股份,2024-09-13,7.31,0.948,0.95,383.45,8,31.1,10.3
688656,浩欧博,2024-10-11,26.79,0.948,0.955,515.57,8,82.01,10.79
300077,国民技术,2024-09-13,9.56,0.947,0.945,334.1,8,51.71,12.29
688108,赛诺医疗,2025-07-11,10.86,0.947,0.944,332.78,7,76.89,10.82
603122,合富中国,2025-10-24,6.57,0.947,0.95,349.01,8,38.41,10.93
300489,光智科技,2024-09-06,17.17,0.945,0.944,572.98,6,3.6,12.19
300251,光线传媒,2025-01-10,8.27,0.945,0.951,401.57,7,-8.25,15.66
300377,赢时胜,2024-09-20,6.29,0.944,0.944,456.44,8,117.21,10.25
002628,成都路桥,2024-09-13,2.1,0.944,0.944,309.52,8,41.54,14.08
000062,深圳华强,2024-07-26,7.64,0.939,0.931,462.43,8,-6.21,7.14
002094,青岛金王,2024-09-20,2.17,0.939,0.938,417.97,8,45.24,14.76
300436,广生堂,2025-06-27,34.54,0.936,0.94,396.99,8,92.35,28.73
