股票代码,股票名称,扫描日期,匹配度,市值(亿),是否通过,原因
000592,平潭发展,2025-01-02,0.987,53.43,是,可能排名不够前5
002104,恒宝股份,2025-01-02,0.997,42.28,是,可能排名不够前5
002759,天际股份,2025-01-02,1.0,46.24,是,可能排名不够前5
300436,广生堂,2025-01-02,1.0,43.48,是,可能排名不够前5
301005,超捷股份,2025-01-02,0.991,42.03,是,可能排名不够前5
301232,飞沃科技,2025-01-02,0.998,11.73,是,可能排名不够前5
002788,鹭燕医药,2025-01-02,0.999,31.04,是,可能排名不够前5
603778,国晟科技,2025-01-02,1.0,20.70,是,可能排名不够前5
603122,合富中国,2025-01-02,0.988,28.34,是,可能排名不够前5
600343,航天动力,2025-01-02,1.0,68.35,是,可能排名不够前5
603216,梦天家居,2025-01-02,0.994,24.47,是,可能排名不够前5
000592,平潭发展,2025-02-05,0.987,54.58,是,可能排名不够前5
002104,恒宝股份,2025-02-05,0.997,39.28,是,可能排名不够前5
002759,天际股份,2025-02-05,1.0,38.47,是,可能排名不够前5
300436,广生堂,2025-02-05,1.0,45.16,是,可能排名不够前5
301005,超捷股份,2025-02-05,0.991,36.45,是,可能排名不够前5
301232,飞沃科技,2025-02-05,0.998,10.81,是,可能排名不够前5
002788,鹭燕医药,2025-02-05,0.999,30.28,是,可能排名不够前5
603778,国晟科技,2025-02-05,1.0,19.35,是,可能排名不够前5
603122,合富中国,2025-02-05,0.988,26.83,是,可能排名不够前5
600343,航天动力,2025-02-05,1.0,64.65,是,可能排名不够前5
603216,梦天家居,2025-02-05,0.996,24.12,是,可能排名不够前5
000592,平潭发展,2025-03-05,0.987,54.77,是,可能排名不够前5
002104,恒宝股份,2025-03-05,0.997,38.92,是,可能排名不够前5
002759,天际股份,2025-03-05,1.0,42.23,是,可能排名不够前5
300436,广生堂,2025-03-05,1.0,44.38,是,可能排名不够前5
301005,超捷股份,2025-03-05,0.991,40.37,是,可能排名不够前5
301232,飞沃科技,2025-03-05,0.998,11.79,是,可能排名不够前5
002788,鹭燕医药,2025-03-05,0.999,29.59,是,可能排名不够前5
603778,国晟科技,2025-03-05,1.0,20.57,是,可能排名不够前5
603122,合富中国,2025-03-05,0.998,28.66,是,可能排名不够前5
600343,航天动力,2025-03-05,1.0,63.37,是,可能排名不够前5
603216,梦天家居,2025-03-05,0.992,25.85,是,可能排名不够前5
000592,平潭发展,2025-06-05,0.995,57.45,是,可能排名不够前5
002104,恒宝股份,2025-06-05,0.997,52.95,是,可能排名不够前5
002759,天际股份,2025-06-05,0.979,37.87,是,可能排名不够前5
300436,广生堂,2025-06-05,1.0,43.00,是,可能排名不够前5
301005,超捷股份,2025-06-05,1.0,47.02,是,可能排名不够前5
301232,飞沃科技,2025-06-05,0.997,12.53,是,可能排名不够前5
002788,鹭燕医药,2025-06-05,0.999,30.66,是,可能排名不够前5
603778,国晟科技,2025-06-05,0.995,20.31,是,可能排名不够前5
603122,合富中国,2025-06-05,0.998,26.43,是,可能排名不够前5
600343,航天动力,2025-06-05,1.0,75.50,是,可能排名不够前5
603216,梦天家居,2025-06-05,0.992,29.26,是,可能排名不够前5
000592,平潭发展,2025-09-01,0.995,65.50,是,可能排名不够前5
002104,恒宝股份,2025-09-01,0.997,157.18,否,市值157.18亿>100亿
002759,天际股份,2025-09-01,0.996,53.45,是,可能排名不够前5
300436,广生堂,2025-09-01,0.976,184.04,否,市值184.04亿>100亿
301005,超捷股份,2025-09-01,1.0,63.38,是,可能排名不够前5
301232,飞沃科技,2025-09-01,0.999,17.24,是,可能排名不够前5
002788,鹭燕医药,2025-09-01,0.999,32.34,是,可能排名不够前5
603778,国晟科技,2025-09-01,0.98,23.59,是,可能排名不够前5
603122,合富中国,2025-09-01,0.987,26.27,是,可能排名不够前5
600343,航天动力,2025-09-01,0.99,95.92,是,可能排名不够前5
603216,梦天家居,2025-09-01,0.992,33.74,是,可能排名不够前5
000592,平潭发展,2025-12-29,0.922,284.20,否,市值284.20亿>100亿
002104,恒宝股份,2025-12-29,0.987,124.14,否,市值124.14亿>100亿
002759,天际股份,2025-12-29,0.983,247.97,否,市值247.97亿>100亿
300436,广生堂,2025-12-29,0.834,124.01,否,市值124.01亿>100亿
301005,超捷股份,2025-12-29,0.983,181.35,否,市值181.35亿>100亿
301232,飞沃科技,2025-12-29,0.978,62.09,是,可能排名不够前5
002788,鹭燕医药,2025-12-29,0.947,80.18,是,可能排名不够前5
603778,国晟科技,2025-12-29,0.98,98.04,是,可能排名不够前5
603122,合富中国,2025-12-29,0.987,101.42,否,市值101.42亿>100亿
600343,航天动力,2025-12-29,0.99,289.75,否,市值289.75亿>100亿
603216,梦天家居,2025-12-29,0.992,85.78,是,可能排名不够前5
